"distance","PAR"
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.00522407407407407
135,0.0104481481481481
135,0.0104481481481481
135,0.0156722222222222
135,0.0208962962962963
135,0.0208962962962963
135,0.0156722222222222
135,0.0156722222222222
135,0.067912962962963
135,0.0417925925925926
135,0.067912962962963
135,0.0156722222222222
135,0.00522407407407407
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0156722222222222
135,132.284003703704
135,495.263118518518
135,556.207166666667
135,597.62885
135,580.091633333333
135,545.210490740741
135,492.410774074074
135,31.8981962962963
135,0.073137037037037
135,0.0313444444444444
135,0.00522407407407407
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0313444444444444
135,3.00384259259259
135,36.7722574074074
135,36.6521037037037
135,36.2237296296296
135,36.176712962963
135,132.351916666667
135,594.797401851852
135,512.481666666667
135,84.7762740740741
135,0.532855555555556
135,0.172394444444444
135,0.0261203703703704
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0104481481481481
135,0.0940333333333333
135,0.208962962962963
135,0.302996296296296
135,0.360461111111111
135,0.339564814814815
135,0.334340740740741
135,0.208962962962963
135,89.0965833333333
135,218.946168518519
135,82.1903574074074
135,61.4612314814815
135,29.2966074074074
135,8.68763518518518
135,0.266427777777778
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0208962962962963
135,3.71431666666667
135,24.7203185185185
135,51.48325
135,58.8962111111111
135,33.2878
135,119.255162962963
135,111.356362962963
135,109.104787037037
135,121.61122037037
135,140.31862962963
135,121.564203703704
135,101.028368518519
135,67.2495055555556
135,28.3614981481482
135,9.3093
135,0.856748148148148
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0365685185185185
135,5.60543148148148
135,18.7753222222222
135,50.9294981481482
135,98.102887037037
135,142.079142592593
135,128.057727777778
135,129.73987962963
135,143.698605555556
135,118.873805555556
135,63.8225129629629
135,64.9874814814815
135,60.2126777777778
135,53.9803574074074
135,40.3768685185185
135,11.1742944444444
135,0.726146296296296
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0104481481481481
135,1.55155
135,6.63979814814815
135,14.0997759259259
135,15.5781888888889
135,20.4052333333333
135,54.30425
135,73.8945277777778
135,70.1854351851852
135,128.360724074074
135,125.074781481482
135,87.5972740740741
135,31.7258018518518
135,69.6003388888889
135,21.5963222222222
135,7.30325555555555
135,1.12317592592593
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0156722222222222
135,1.41572407407407
135,4.98899074074074
135,13.6400574074074
135,32.6974796296296
135,44.8591240740741
135,79.6775777777778
135,86.5629074074074
135,83.2142759259259
135,80.4193962962963
135,64.6792611111111
135,51.1175648148148
135,50.3809703703704
135,49.7331851851852
135,35.3983259259259
135,10.5212851851852
135,0.851524074074074
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0104481481481481
135,1.72394444444444
135,8.00850555555556
135,20.0395481481481
135,32.0758148148148
135,34.6774037037037
135,42.106037037037
135,42.2157425925926
135,26.1830592592593
135,11.2892240740741
135,7.86745555555556
135,11.1899666666667
135,8.18612407407407
135,9.35109259259259
135,5.32333148148148
135,1.31646666666667
135,0.125377777777778
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,1.00302222222222
135,1.39482777777778
135,4.98899074074074
135,5.02033518518518
135,7.06294814814815
135,24.2240314814815
135,29.8033425925926
135,26.5696407407407
135,27.4681814814815
135,9.96230925925926
135,11.5869962962963
135,17.699162962963
135,13.4833351851852
135,7.54356296296296
135,6.30023333333333
135,0.454494444444444
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.00522407407407407
135,0.438822222222222
135,4.5136
135,13.3161648148148
135,15.0975740740741
135,12.7728611111111
135,13.1594425925926
135,26.4076944444444
135,16.4140407407407
135,23.2471296296296
135,37.6551259259259
135,22.0194722222222
135,34.6617314814815
135,24.0882055555556
135,10.7615925925926
135,2.84712037037037
135,0.579872222222222
135,0.00522407407407407
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.485838888888889
135,1.23810555555556
135,1.61946296296296
135,2.58591666666667
135,4.01208888888889
135,5.68901666666667
135,15.165487037037
135,21.0634666666667
135,1.19631296296296
135,0
135,4.81137222222222
135,8.94883888888889
135,5.44870925925926
135,1.87544259259259
135,1.33736296296296
135,0.120153703703704
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0156722222222222
135,1.54632592592593
135,4.75390740740741
135,28.5495648148148
135,39.0238333333333
135,70.6190333333333
135,97.1782259259259
135,50.2712648148148
135,32.1594
135,21.7164759259259
135,12.1355240740741
135,10.9705555555556
135,13.2012351851852
135,8.30627777777778
135,3.34340740740741
135,1.91201111111111
135,0.25597962962963
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0156722222222222
135,0.480614814814815
135,1.86499444444444
135,3.02996296296296
135,6.03380555555555
135,10.7145759259259
135,62.1246888888889
135,48.5786648148148
135,30.1794759259259
135,19.9298425925926
135,13.6922981481482
135,15.9752185185185
135,12.2400055555556
135,7.09951666666667
135,4.82182037037037
135,2.24112777777778
135,0.208962962962963
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0104481481481481
135,0.574648148148148
135,0.8463
135,3.89193518518519
135,8.463
135,7.60102777777778
135,8.47344814814815
135,3.56281851851852
135,4.26806851851852
135,8.67718703703703
135,9.66453703703704
135,10.928762962963
135,7.56968333333333
135,5.69946481481482
135,2.06873333333333
135,0.762714814814815
135,0.245531481481481
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0574648148148148
135,2.24635185185185
135,7.83611111111111
135,15.7923759259259
135,22.6150166666667
135,84.3322277777778
135,122.441848148148
135,42.9993537037037
135,27.4577333333333
135,20.0813407407407
135,14.1885851851852
135,10.9705555555556
135,5.75170555555556
135,4.43001481481481
135,3.28594259259259
135,1.23810555555556
135,0.250755555555556
135,0
135,0
135,0
135,0
135,0
135,0
135,0
135,0.0626888888888889
135,1.08660740740741
135,4.91062962962963
135,18.2320185185185
135,40.4917981481481
135,46.3584333333333
135,71.2250259259259
135,37.5506444444444
135,28.8316648148148
135,20.5567314814815
135,10.3018740740741
135,8.50479259259259
135,6.80174444444444
135,4.2315
135,2.61726111111111
135,1.33736296296296
135,0.198514814814815
135,0
135,0
135,0
135,0
135,0
135,0.00522407407407407
135,0
135,0.0574648148148148
135,2.65382962962963
135,7.06294814814815
135,27.6823685185185
135,33.5594518518518
135,61.3985425925926
135,78.0790111111111
135,40.8836037037037
135,27.8338666666667
135,20.9328648148148
135,9.91006851851852
135,7.51744259259259
135,6.34725
135,6.10694259259259
135,4.50315185185185
135,2.42397037037037
135,0.5642
135,0
135,0
135,0
